TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Risk factors associated with sexting as a preliminary framework for preventing different derivative forms of victimization A study of factors correlated with sexting in a university sample","Agustina, Jose R.; Gomez-Duran, Esperanza L.","","","","IDP-INTERNET LAW AND POLITICS","JUN 2016","2016","","22","","","","21","47","","10.7238/idp.v0i22.2970","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","1"
"What's Her Face(book)? How many of their Facebook "friends" can college students actually identify?","Croom, Charles; Gross, Bay; Rosen, Larry D.; Rosen, Brad","","","","COMPUTERS IN HUMAN BEHAVIOR","MAR 2016","2016","56","","","","","135","141","","10.1016/j.chb.2015.11.015","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","1"
"Attitudes toward medical and genetic confidentiality in the Saudi research biobank: An exploratory survey","Alahmad, Ghiath; Hifnawy, Tamer; Abbasi, Badaruddin; Dierickx, Kris","","","","INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","MAR 2016","2016","87","","","","","84","90","","10.1016/j.ijmedinf.2015.12.015","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0"
"Understanding undergraduates' problems from determinants of Facebook continuance intention","Lin, Kan-Min","","","","BEHAVIOUR & INFORMATION TECHNOLOGY","2016","2016","35","9","","","","693","705","","10.1080/0144929X.2016.1177114","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","0"
"Shared student residential space: a post occupancy evaluation","Khajehzadeh, Iman; Vale, Brenda","","","","JOURNAL OF FACILITIES MANAGEMENT","2016","2016","14","2","","","","102","124","","10.1108/JFM-09-2014-0031","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","0"
"Download Your Doctor: Implementation of a Digitally Mediated Personal Physician Presence to Enhance Patient Engagement With a Health-Promoting Internet Application","Lygidakis, Charilaos; Wallace, Paul; Tersar, Costanza; Marcatto, Francesco; Ferrante, Donatella; Della Vedova, Roberto; Scafuri, Francesca; Scafato, Emanuele; Struzzo, Pierluigi","","","","JMIR RESEARCH PROTOCOLS","JAN-MAR 2016","2016","5","1","","","","","","e36","10.2196/resprot.5232","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","0"
"Teacher Self-Disclosure","Cayanus, Jacob; Martin, Matthew M.","","","Witt, PL","COMMUNICATION AND LEARNING","2016","2016","16","","","","","241","258","","","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2"
"Patients' reasons for accepting a free community pharmacy asthma service","Kaae, Susanne; Sporrong, Sofia Kalvemark","","","","INTERNATIONAL JOURNAL OF CLINICAL PHARMACY","OCT 2015","2015","37","5","","","","917","924","","10.1007/s11096-015-0142-z","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","1"
"Willingness to Record Police-Public Encounters: The Impact of Race and Social and Legal Consciousness","Farmer, Ashley K.; Sun, Ivan Y.; Starks, Brian Chad","","","","RACE AND JUSTICE","OCT 2015","2015","5","4","","","","356","377","","10.1177/2153368715581663","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","1"
"Cross-cultural perspectives on the patient-provider relationship: a qualitative study exploring reflections from Ghanaian medical students following a clinical rotation in the United States","Abedini, Nauzley C.; Danso-Bamfo, Sandra; Kolars, Joseph C.; Danso, Kwabena A.; Donkor, Peter; Johnson, Timothy R. B.; Moyer, Cheryl A.","","","","BMC MEDICAL EDUCATION","SEP 28 2015","2015","15","","","","","","","161","10.1186/s12909-015-0444-9","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","0"
