TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"How Attitude Functions, Attitude Change, and Beliefs Affect Community Sentiment Toward the Facebook Law","Kwiatkowski, Michael J.; Miller, Monica K.","","","Miller, MK; Blumenthal, JA; Chamberlain, J","HANDBOOK OF COMMUNITY SENTIMENT","2015","2015","","","","","","159","170","","10.1007/978-1-4939-1899-7_11","","","1","0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Lessons Learned From Four Years of Using Social Media to Support Transition to Higher Education","Knight, John; Rochon, Rebecca; Hailey, Becci","","","Mesquita, A; Peres, P","PROCEEDINGS OF THE 2ND EUROPEAN CONFERENCE ON SOCIAL MEDIA (ECSM 2015)","2015","2015","","","","","","242","246","","","2nd European Conference on Social Media (ECSM)","JUL 09-10, 2015","1","0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Chile: Surveillance and the right to privacy on internet","Labrin, Danny Rayman","","","","REVISTA CHILENA DE DERECHO Y TECNOLOGIA","2015","2015","4","1","","","","187","232","","10.5354/0719-2584.2015.36007","","","1","0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Characteristics and Scope of Youth Domestic Violence Exposure in Slovenia","Domiter Protner, Ksenija","","","","REVISTA DE CERCETARE SI INTERVENTIE SOCIALA","DEC 2014","2014","47","","","","","150","164","","","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Flexible non-randomized response models for survey with sensitive question","Wu, Qin; Tang, Man-Lai","","","","STATISTICS IN MEDICINE","MAR 15 2014","2014","33","6","","","","918","929","","10.1002/sim.5999","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Creating possible selves: information disclosure behaviour on social networks","Bronstein, Jenny","","","","INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL","MAR 2014","2014","19","1","","","","","","609","","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"The Threats of Data Security over the Cloud as Perceived by Experts and University Students","Maghrabi, Louai A.","","","","2014 WORLD SYMPOSIUM ON COMPUTER APPLICATIONS & RESEARCH (WSCAR)","2014","2014","","","","","","","","","","World Symposium on Computer Applications and Research (WSCAR)","JAN 18-20, 2014","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Using information ethically, legally, and safely","Li, Lili","","","","SCHOLARLY INFORMATION DISCOVERY IN THE NETWORKED ACADEMIC LEARNING ENVIRONMENT","2014","2014","","","","","","243","276","","","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Online purchasing behavior of Malaysia's young consumers","Ariff, Mohd Shoki. Md.; SzeYan, Ng; Zakuan, Norhayati; Rahim, Kamaruzzaman Abdul; Ismail, Khalid","","","Gaol, FL; Kadry, S; Taylor, M; Li, PS","RECENT TRENDS IN SOCIAL AND BEHAVIOUR SCIENCES","2014","2014","","","","","","167","173","","","2nd International Congress on Interdisciplinary Behavior and Social Science (ICIBSoS)","NOV 04-05, 2013","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"PROMOTING ONLINE SAFETY AMONG ADOLESCENTS: ENHANCING COPING SELF-EFFICACY AND PROTECTIVE BEHAVIORS THROUGH ENACTIVE MASTERY","Waddell, Julia Crouse; McLaughlin, Caitlin; LaRose, Robert; Rifon, Nora; Wirth-Hawkins, Christina","","","Robinson, L; Cotten, SR; Schulz, J","COMMUNICATION AND INFORMATION TECHNOLOGIES ANNUAL: DOING AND BEING DIGITAL: MEDIATED CHILDHOODS","2014","2014","8","","","","","133","157","","10.1108/S2050-206020140000008021","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
