TOPIC: (privacy AND student)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Addressing Online Behavioral Advertising and Privacy Implications: A Comparison of Passive Versus Active Learning Approaches","Labrecque, Lauren I.; Markos, Ereni; Darmody, Aron","","","","JOURNAL OF MARKETING EDUCATION","APR 2021","2021","43","1","","","","43","58","","10.1177/0273475319828788","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dental education and undue exposure of patients' image in social media: A literature review","Santos, Pablo Silveira; do Nascimento, Luiza Pereira; Martorell, Leandro Brambilla; de Carvalho, Raquel Baroni; Finkler, Mirelle","","","","EUROPEAN JOURNAL OF DENTAL EDUCATION","","2021","","","","","","","","","10.1111/eje.12633","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The quality of user experiences for mobile recommendation systems: an end-user perspective","Chong, Woon Kian; Ma, Zhuang","","","","INDUSTRIAL MANAGEMENT & DATA SYSTEMS","","2021","","","","","","","","","10.1108/IMDS-07-2020-0389","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Exploring adolescent and clinician perspectives on Australia's national digital health record, My Health Record","Beaton, Laura; Williams, Ian; Sanci, Lena","","","","AUSTRALIAN JOURNAL OF PRIMARY HEALTH","","2021","","","","","","","","","10.1071/PY20169","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Prevalence and correlates of psychological distress (using a 2-item screener) among national samples of in-school adolescents in four Caribbean countries","Pengpid, Supa; Peltzer, Karl","","","","VULNERABLE CHILDREN AND YOUTH STUDIES","","2021","","","","","","","","","10.1080/17450128.2021.1896825","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"'Honestly no, I've never looked at it': teachers' understandings and practices related to students' personal data in digitised health and physical education","Lupton, Deborah","","","","LEARNING MEDIA AND TECHNOLOGY","","2021","","","","","","","","","10.1080/17439884.2021.1896541","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The need for health AI ethics in medical school education","Katznelson, Gali; Gerke, Sara","","","","ADVANCES IN HEALTH SCIENCES EDUCATION","","2021","","","","","","","","","10.1007/s10459-021-10040-3","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"An Exploration and Critical Examination of How "Intelligent Classroom Technologies" Can Improve Specific Uses of Direct Student Behavior Observation Methods","Woolverton, Genevieve Alice; Pollastri, Alisha R.","","","","EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE","","2021","","","","","","","","","10.1111/emip.12421","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moving learning online and the COVID-19 pandemic: a university response","Webb, Aleksandra; McQuaid, Ronald William; Webster, C. William R.","","","","WORLD JOURNAL OF SCIENCE TECHNOLOGY AND SUSTAINABLE DEVELOPMENT","MAR 16 2021","2021","18","1","","","","1","19","","10.1108/WJSTSD-11-2020-0090","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Challenges and opportunities of multimodal data in human learning: The computer science students' perspective","Mangaroska, Katerina; Martinez-Maldonado, Roberto; Vesin, Boban; Gasevic, Dragan","","","","JOURNAL OF COMPUTER ASSISTED LEARNING","","2021","","","","","","","","","10.1111/jcal.12542","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blockchain System in the Higher Education","Raimundo, Ricardo; Rosario, Alberico","","","","EUROPEAN JOURNAL OF INVESTIGATION IN HEALTH PSYCHOLOGY AND EDUCATION","MAR 2021","2021","11","1","","","","276","293","","10.3390/ejihpe11010021","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Optimized collusion prevention for online exams during social distancing","Li, Mengzhou; Luo, Lei; Sikdar, Sujoy; Nizam, Navid Ibtehaj; Gao, Shan; Shan, Hongming; Kruger, Melanie; Kruger, Uwe; Mohamed, Hisham; Xia, Lirong; Wang, Ge","","","","NPJ SCIENCE OF LEARNING","MAR 1 2021","2021","6","1","","","","","","5","10.1038/s41539-020-00083-3","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Hidden Shadow of Coronavirus on Education in Developing Countries","Khlaif, Zuheir N.; Salha, Soheil; Fareed, Shahid; Rashed, Hadi","","","","ONLINE LEARNING","MAR 2021","2021","25","1","","","","269","285","","10.24059/olj.v25i1.2287","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy Concerns Over the Use of Webcams in Online Medical Education During the COVID-19 Pandemic","Rajab, Mohammad H.; Soheib, Mohammed","","","","CUREUS","FEB 24 2021","2021","13","2","","","","","","e13536","10.7759/cureus.13536","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Understanding intentions and actual use of mobile wallets by millennial: an extended TAM model perspective","Sarmah, Roktim; Dhiman, Neeraj; Kanojia, Honey","","","","JOURNAL OF INDIAN BUSINESS RESEARCH","","2021","","","","","","","","","10.1108/JIBR-06-2020-0214","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"E-proctored exams during the COVID-19 pandemic: A close understanding","Kharbat, Faten F.; Abu Daabes, Ajayeb S.","","","","EDUCATION AND INFORMATION TECHNOLOGIES","","2021","","","","","","","","","10.1007/s10639-021-10458-7","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The importance of always bearing in mind students' privacy, consent, vulnerability, and agency issues","Natividad Beltran del Rio, Gloria","","","","ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT","","2021","","","","","","","","","10.1007/s11423-021-09954-x","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Medical students' reflections on surgical educators' professionalism: Contextual nuances in the hidden curriculum","Poola, V. Prasad; Suh, Boyung; Parr, Trevor; Boehler, Margaret; Han, Heeyoung; Mellinger, John","","","","AMERICAN JOURNAL OF SURGERY","FEB 2021","2021","221","2","","","","270","276","","10.1016/j.amjsurg.2020.09.003","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"An Evaluation of On-Campus Lactation Spaces for Student-Parents","Al-Mohsen, Zainab AbdulHadi; Jamal, Hasan Frookh","","","","JOURNAL OF HUMAN LACTATION","FEB 2021","2021","37","1","","","","194","199","","10.1177/0890334420976333","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patient outlook on bedside teaching in a medical school","Shetty, Pritam A.; Magazine, Rahul; Chogtu, Bharti","","","","JOURNAL OF TAIBAH UNIVERSITY MEDICAL SCIENCES","FEB 2021","2021","16","1","","","","50","56","","10.1016/j.jtumed.2020.10.002","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
